,Title,Abstract,Journal,Language,Year,Month,Completion Date,Edit Date,Authors,First Author Affiliation,url,ImpactFactor
10,EP4-induced mitochondrial localization and cell migration mediated by CALML6 in human oral squamous cell carcinoma.,"Lymph node metastasis, primarily caused by the migration of oral squamous cell carcinoma (OSCC) cells, stands as a crucial prognostic marker. We have previously demonstrated that EP4, a subtype of the prostaglandin E2 (PGE2) receptor, orchestrates OSCC cell migration via Ca<sup>2+</sup> signaling. The exact mechanisms by which EP4 influences cell migration through Ca<sup>2+</sup> signaling, however, is unclear. Our study aims to clarify how EP4 controls OSCC cell migration through this pathway. We find that activating EP4 with an agonist (ONO-AE1-473) increased intracellular Ca<sup>2+</sup> levels and the migration of human oral cancer cells (HSC-3), but not human gingival fibroblasts (HGnF). Further RNA sequencing linked EP4 to calmodulin-like protein 6 (CALML6), whose role remains undefined in OSCC. Through protein-protein interaction network analysis, a strong connection is identified between CALML6 and calcium/calmodulin-dependent protein kinase kinase 2 (CaMKK2), with EP4 activation also boosting mitochondrial function. Overexpressing EP4 in HSC-3 cells increases experimental lung metastasis in mice, whereas inhibiting CaMKK2 with STO-609 markedly lowers these metastases. This positions CaMKK2 as a potential new target for treating OSCC metastasis. Our findings highlight CALML6 as a pivotal regulator in EP4-driven mitochondrial respiration, affecting cell migration and metastasis via the CaMKK2 pathway.",Communications Biology,eng,2024,May,2024-05-14,2024-05-14,"Soichiro Ishikawa, Masanari Umemura, Rina Nakakaji, Akane Nagasako, Kagemichi Nagao, Yuto Mizuno, Kei Sugiura, Mitomu Kioi, Kenji Mitsudo, Yoshihiro Ishikawa","Cardiovascular Research Institute, Yokohama City University Graduate School of Medicine, Yokohama, Kanagawa, Japan.",https://pubmed.ncbi.nlm.nih.gov/38745046/,58.0
11,Photobiomodulation on isolated mitochondria at 810 nm: first results on the efficiency of the energy conversion process.,"In this paper the photobiomodulation on isolated mitochondria of bovine liver is studied as a thermodynamic process of conversion of energy. This analysis is conducted by considering a particular set-up for the photobiomodulation experiments of interest. It allows, in particular, the computation of the electromagnetic field and the related energetic quantities in the stimulated organelles. The measurements of the excess of biochemical power density produced by the illuminated mitochondria are performed at regular time intervals after the experiments. The calculations and the measurements finally allow us to obtain the first results on the efficiency of the process of conversion of electromagnetic energy into excess of biochemical energy released by the isolated organelles.",Scientific Reports,eng,2024,May,2024-05-14,2024-05-14,"Andrea Amaroli, Mario Rene Clemente Vargas, Claudio Pasquale, Mirco Raffetto, Silvia Ravera","Department of Earth, Environment and Life Sciences, University of Genoa, Corso Europa 26, 16132, Genoa, Italy.",https://pubmed.ncbi.nlm.nih.gov/38744931/,282.0
12,Mitochondrial dysfunction: mechanisms and advances in therapy.,"Mitochondria, with their intricate networks of functions and information processing, are pivotal in both health regulation and disease progression. Particularly, mitochondrial dysfunctions are identified in many common pathologies, including cardiovascular diseases, neurodegeneration, metabolic syndrome, and cancer. However, the multifaceted nature and elusive phenotypic threshold of mitochondrial dysfunction complicate our understanding of their contributions to diseases. Nonetheless, these complexities do not prevent mitochondria from being among the most important therapeutic targets. In recent years, strategies targeting mitochondrial dysfunction have continuously emerged and transitioned to clinical trials. Advanced intervention such as using healthy mitochondria to replenish or replace damaged mitochondria, has shown promise in preclinical trials of various diseases. Mitochondrial components, including mtDNA, mitochondria-located microRNA, and associated proteins can be potential therapeutic agents to augment mitochondrial function in immunometabolic diseases and tissue injuries. Here, we review current knowledge of mitochondrial pathophysiology in concrete examples of common diseases. We also summarize current strategies to treat mitochondrial dysfunction from the perspective of dietary supplements and targeted therapies, as well as the clinical translational situation of related pharmacology agents. Finally, this review discusses the innovations and potential applications of mitochondrial transplantation as an advanced and promising treatment.",Signal Transduction And Targeted Therapy,eng,2024,May,2024-05-14,2024-05-14,"Yao Zong, Hao Li, Peng Liao, Long Chen, Yao Pan, Yongqiang Zheng, Changqing Zhang, Delin Liu, Minghao Zheng, Junjie Gao","Centre for Orthopaedic Research, Medical School, The University of Western Australia, Nedlands, WA, 6009, Australia.",https://pubmed.ncbi.nlm.nih.gov/38744846/,83.0
13,"2-APQC, a small-molecule activator of Sirtuin-3 (SIRT3), alleviates myocardial hypertrophy and fibrosis by regulating mitochondrial homeostasis.","Sirtuin 3 (SIRT3) is well known as a conserved nicotinamide adenine dinucleotide<sup>+</sup> (NAD<sup>+</sup>)-dependent deacetylase located in the mitochondria that may regulate oxidative stress, catabolism and ATP production. Accumulating evidence has recently revealed that SIRT3 plays its critical roles in cardiac fibrosis, myocardial fibrosis and even heart failure (HF), through its deacetylation modifications. Accordingly, discovery of SIRT3 activators and elucidating their underlying mechanisms of HF should be urgently needed. Herein, we identified a new small-molecule activator of SIRT3 (named 2-APQC) by the structure-based drug designing strategy. 2-APQC was shown to alleviate isoproterenol (ISO)-induced cardiac hypertrophy and myocardial fibrosis in vitro and in vivo rat models. Importantly, in SIRT3 knockout mice, 2-APQC could not relieve HF, suggesting that 2-APQC is dependent on SIRT3 for its protective role. Mechanically, 2-APQC was found to inhibit the mammalian target of rapamycin (mTOR)-p70 ribosomal protein S6 kinase (p70S6K), c-jun N-terminal kinase (JNK) and transforming growth factor-β (TGF-β)/ small mother against decapentaplegic 3 (Smad3) pathways to improve ISO-induced cardiac hypertrophy and myocardial fibrosis. Based upon RNA-seq analyses, we demonstrated that SIRT3-pyrroline-5-carboxylate reductase 1 (PYCR1) axis was closely assoiated with HF. By activating PYCR1, 2-APQC was shown to enhance mitochondrial proline metabolism, inhibited reactive oxygen species (ROS)-p38 mitogen activated protein kinase (p38MAPK) pathway and thereby protecting against ISO-induced mitochondrialoxidative damage. Moreover, activation of SIRT3 by 2-APQC could facilitate AMP-activated protein kinase (AMPK)-Parkin axis to inhibit ISO-induced necrosis. Together, our results demonstrate that 2-APQC is a targeted SIRT3 activator that alleviates myocardial hypertrophy and fibrosis by regulating mitochondrial homeostasis, which may provide a new clue on exploiting a promising drug candidate for the future HF therapeutics.",Signal Transduction And Targeted Therapy,eng,2024,May,2024-05-14,2024-05-14,"Fu Peng, Minru Liao, Wenke Jin, Wei Liu, Zixiang Li, Zhichao Fan, Ling Zou, Siwei Chen, Lingjuan Zhu, Qian Zhao, Gu Zhan, Liang Ouyang, Cheng Peng, Bo Han, Jin Zhang, Leilei Fu","West China School of Pharmacy and Department of Biotherapy, Cancer Center and State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, 610041, China.",https://pubmed.ncbi.nlm.nih.gov/38744811/,83.0
14,METTL8 links mt-tRNA m<sup>3</sup>C modification to the HIF1α/RTK/Akt axis to sustain GBM stemness and tumorigenicity.,"Epitranscriptomic RNA modifications are crucial for the maintenance of glioma stem cells (GSCs), the most malignant cells in glioblastoma (GBM). 3-methylcytosine (m<sup>3</sup>C) is a new epitranscriptomic mark on RNAs and METTL8 represents an m<sup>3</sup>C writer that is dysregulated in cancer. Although METTL8 has an established function in mitochondrial tRNA (mt-tRNA) m<sup>3</sup>C modification, alternative splicing of METTL8 can also generate isoforms that localize to the nucleolus where they may regulate R-loop formation. The molecular basis for METTL8 dysregulation in GBM, and which METTL8 isoform(s) may influence GBM cell fate and malignancy remain elusive. Here, we investigated the role of METTL8 in regulating GBM stemness and tumorigenicity. In GSC, METTL8 is exclusively localized to the mitochondrial matrix where it installs m<sup>3</sup>C on mt-tRNA<sup>Thr/Ser(UCN)</sup> for mitochondrial translation and respiration. High expression of METTL8 in GBM is attributed to histone variant H2AZ-mediated chromatin accessibility of HIF1α and portends inferior glioma patient outcome. METTL8 depletion impairs the ability of GSC to self-renew and differentiate, thus retarding tumor growth in an intracranial GBM xenograft model. Interestingly, METTL8 depletion decreases protein levels of HIF1α, which serves as a transcription factor for several receptor tyrosine kinase (RTK) genes, in GSC. Accordingly, METTL8 loss inactivates the RTK/Akt axis leading to heightened sensitivity to Akt inhibitor treatment. These mechanistic findings, along with the intimate link between METTL8 levels and the HIF1α/RTK/Akt axis in glioma patients, guided us to propose a HIF1α/Akt inhibitor combination which potently compromises GSC proliferation/self-renewal in vitro. Thus, METTL8 represents a new GBM dependency that is therapeutically targetable.",Cell Death & Disease,eng,2024,May,2024-05-14,2024-05-14,"Bernice Woon Li Lee, You Heng Chuah, Jeehyun Yoon, Oleg V Grinchuk, Yajing Liang, Jayshree L Hirpara, Yating Shen, Loo Chien Wang, Yan Ting Lim, Tianyun Zhao, Radoslaw M Sobota, Tseng Tsai Yeo, Andrea Li Ann Wong, Kejia Teo, Vincent Diong Weng Nga, Bryce Wei Quan Tan, Toshio Suda, Tan Boon Toh, Shazib Pervaiz, Zhewang Lin, Derrick Sek Tong Ong","Department of Physiology, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, 117593, Singapore.",https://pubmed.ncbi.nlm.nih.gov/38744809/,5.0
15,Requirements for the biogenesis of [2Fe-2S] proteins in the human and yeast cytosol.,"The biogenesis of iron-sulfur (Fe/S) proteins entails the synthesis and trafficking of Fe/S clusters, followed by their insertion into target apoproteins. In eukaryotes, the multiple steps of biogenesis are accomplished by complex protein machineries in both mitochondria and cytosol. The underlying biochemical pathways have been elucidated over the past decades, yet the mechanisms of cytosolic [2Fe-2S] protein assembly have remained ill-defined. Similarly, the precise site of glutathione (GSH) requirement in cytosolic and nuclear Fe/S protein biogenesis is unclear, as is the molecular role of the GSH-dependent cytosolic monothiol glutaredoxins (cGrxs). Here, we investigated these questions in human and yeast cells by various in vivo approaches. [2Fe-2S] cluster assembly of cytosolic target apoproteins required the mitochondrial ISC machinery, the mitochondrial transporter Atm1/ABCB7 and GSH, yet occurred independently of both the CIA system and cGrxs. This mechanism was strikingly different from the ISC-, Atm1/ABCB7-, GSH-, and CIA-dependent assembly of cytosolic-nuclear [4Fe-4S] proteins. One notable exception to this cytosolic [2Fe-2S] protein maturation pathway defined here was yeast Apd1 which used the CIA system via binding to the CIA targeting complex through its C-terminal tryptophan. cGrxs, although attributed as [2Fe-2S] cluster chaperones or trafficking proteins, were not essential in vivo for delivering [2Fe-2S] clusters to either CIA components or target apoproteins. Finally, the most critical GSH requirement was assigned to Atm1-dependent export, i.e. a step before GSH-dependent cGrxs function. Our findings extend the general model of eukaryotic Fe/S protein biogenesis by adding the molecular requirements for cytosolic [2Fe-2S] protein maturation.",Proceedings Of The National Academy Of Sciences Of The United States Of America,eng,2024,May,2024-05-14,2024-05-14,"Joseph J Braymer, Oliver Stehling, Martin Stümpfig, Ralf Rösser, Farah Spantgar, Catharina M Blinn, Ulrich Mühlenhoff, Antonio J Pierik, Roland Lill","Institut für Zytobiologie und Zytopathologie, Fachbereich Medizin, Philipps-Universität Marburg, Marburg 35032, Germany.",https://pubmed.ncbi.nlm.nih.gov/38743629/,838.0
16,Metformin induction of heat shock factor 1 activation and the mitochondrial unfolded protein response alleviate cardiac remodeling in spontaneously hypertensive rats.,"Heart failure and cardiac remodeling are both characterized by mitochondrial dysfunction. Healthy mitochondria are required for adequate contractile activity and appropriate regulation of cell survival. In the mammalian heart, enhancement of the mitochondrial unfolded protein response (UPRmt) is cardioprotective under pressure overload conditions. We explored the UPRmt and the underlying regulatory mechanism in terms of hypertension-induced cardiac remodeling and the cardioprotective effect of metformin. Male spontaneously hypertensive rats and angiotensin II-treated neonatal rat cardiomyocytes were used to induce cardiac hypertrophy. The results showed that hypertension induced the formation of aberrant mitochondria, characterized by a reduced mtDNA/nDNA ratio and swelling, as well as lower levels of mitochondrial complexes I to V and inhibition of the expression of one protein subunit of each of complexes I to IV. Such changes eventually enlarged cardiomyocytes and increased cardiac fibrosis. Metformin treatment increased the mtDNA/nDNA ratio and regulated the UPRmt, as indicated by increased expression of activating transcription factor 5, Lon protease 1, and heat shock protein 60, and decreased expression of C/EBP homologous protein. Thus, metformin improved mitochondrial ultrastructure and function in spontaneously hypertensive rats. In vitro analyses revealed that metformin reduced the high levels of angiotensin II-induced mitochondrial reactive oxygen species in such animals and stimulated nuclear translocation of heat shock factor 1 (HSF1). Moreover, HSF1 small-interfering RNA reduced the metformin-mediated improvements in mitochondrial morphology and the UPRmt by suppressing hypertrophic signals and cardiomyocyte apoptosis. These results suggest that HSF1/UPRmt signaling contributes to the beneficial effects of metformin. Metformin-mediated targeting of mitochondrial protein homeostasis and modulation of HSF1 levels have potential therapeutic implications in terms of cardiac remodeling.",Faseb Journal : Official Publication Of The Federation Of American Societies For Experimental Biology,eng,2024,May,2024-05-08,2024-05-08,"Man Xu, Li-Peng Li, Xi He, Xing-Zhu Lu, Xue-Yuan Bi, Qi Li, Xiao-Rong Xue","Department of Pharmacy, Xi'an People's Hospital (Xi'an Fourth Hospital), Northwest University Affiliated People's Hospital, Xi'an, Shaanxi, China.",https://pubmed.ncbi.nlm.nih.gov/38717442/,5.0
17,Identifying the Potential Apoptotic Metabolites in Postmortem Beef Muscle by Targeted Metabolomics.,"Apoptotic cells may release specific metabolites to act as messengers during the apoptotic process. This study represents the first attempt to identify potential apoptotic metabolites in postmortem muscle. Ninety potential apoptotic metabolites in beef were selected and analyzed through targeted metabolomics, with 84 of them exhibiting significant differences over the postmortem time. Following the addition of the mitochondria-targeted antiapoptotic agent mitoquinone to postmortem muscle, metabolomic analysis revealed that 73 apoptotic metabolites still underwent significant changes, even against the backdrop of altered apoptosis. Of these 73 apoptotic metabolites, 54 exhibited similar trends at various treatment times with adding mitoquinone, including lipids (6), amino acids (27), nucleosides (11), and carbohydrate and energy metabolism (10). Mitoquinone significantly reduced the levels of most apoptotic metabolites, and inhibition of apoptosis resulted in a significant decrease in the levels of numerous apoptotic metabolites. Consequently, these apoptotic metabolites are considered complementary to apoptosis in postmortem muscle, with their increased levels potentially promoting apoptosis. Noteworthy apoptotic metabolites, such as glycerol 3-phosphate, serine, AMP, ATP, GMP, and creatine, were identified as active signaling molecules that attract and recruit phagocytes during apoptosis, assisting in recognizing apoptotic cells by phagocytes. This study provides, for the first time, insights into potential apoptotic metabolites in postmortem muscle, contributing to a better understanding of meat biochemistry.",Journal Of Agricultural And Food Chemistry,eng,2024,May,2024-05-15,2024-05-15,"Bo Zou, Han Wang, Miaolin Duan, Yingying Sun, Yana Liu, Xingmin Li, Ruitong Dai","College of Food Science and Nutritional Engineering, China Agricultural University, No. 17 Qinghua East Road, Haidian District, Beijing 100083, PR China.",https://pubmed.ncbi.nlm.nih.gov/38710026/,328.0
18,Simultaneous targeting of peripheral and brain tumors with a therapeutic nanoparticle to disrupt metabolic adaptability at both sites.,"Brain metastasis of advanced breast cancer often results in deleterious consequences. Metastases to the brain lead to significant challenges in treatment options, as the blood-brain barrier (BBB) prevents conventional therapy. Thus, we hypothesized that creation of a nanoparticle (NP) that distributes to both primary tumor site and across the BBB for secondary brain tumor can be extremely beneficial. Here, we report a simple targeting strategy to attack both the primary breast and secondary brain tumors utilizing a single NP platform. The nature of these mitochondrion-targeted, BBB-penetrating NPs allow for simultaneous targeting and drug delivery to the hyperpolarized mitochondrial membrane of the extracranial primary tumor site in addition to tumors at the brain. By utilizing a combination of such dual anatomical distributing NPs loaded with therapeutics, we demonstrate a proof-of-concept idea to combat the increased metabolic plasticity of brain metastases by lowering two major energy sources, oxidative phosphorylation (OXPHOS) and glycolysis. By utilizing complementary studies and genomic analyses, we demonstrate the utility of a chemotherapeutic prodrug to decrease OXPHOS and glycolysis by pairing with a NP loaded with pyruvate dehydrogenase kinase 1 inhibitor. Decreasing glycolysis aims to combat the metabolic flexibility of both primary and secondary tumors for therapeutic outcome. We also address the in vivo safety parameters by addressing peripheral neuropathy and neurobehavior outcomes. Our results also demonstrate that this combination therapeutic approach utilizes mitochondrial genome targeting strategy to overcome DNA repair-based chemoresistance mechanisms.",Proceedings Of The National Academy Of Sciences Of The United States Of America,eng,2024,May,2024-05-06,2024-05-06,"Akash Ashokan, Shrita Sarkar, Mohammad Z Kamran, Bapurao Surnar, Akil A Kalathil, Alexis Spencer, Shanta Dhar","NanoTherapeutics Research Laboratory, Department of Biochemistry and Molecular Biology, University of Miami Miller School of Medicine, Miami, FL 33136.",https://pubmed.ncbi.nlm.nih.gov/38709930/,838.0
19,Exogenous and Endogenous Dual-Activated Nanoladder for Precise Imaging of Mitochondrial Ferroptosis-Related Inhibition miRNA with Tumor Cell Specificity.,"Developing precise tumor cell-specific mitochondrial ferroptosis-related inhibition miRNA imaging methods holds enormous potential for anticancer drug screening and cancer treatment. Nevertheless, traditional amplification methods still tolerated the limited tumor specificity because of the ""off-tumor"" signal leakage resulting from their ""always-active"" sensing mode. To overcome this limitation, we herein developed a dual (exogenous 808 nm NIR light and endogenous APE1) activated nanoladder for precise imaging of mitochondrial ferroptosis-related miRNA with tumor cell specificity and improved imaging resolution. Exogenous NIR light-activation can regulate the ferroptosis-related inhibition miRNA imaging signals within mitochondria, and endogenous enzyme-activation can confine signals to tumor cells. Based on this dual activation design, off-tumor signals were greatly reduced and tumor-to-background contrast was enhanced with an improved tumor/normal discrimination ratio, realizing tumor cell-specific precise imaging of mitochondrial ferroptosis-related inhibition miRNA.",Analytical Chemistry,eng,2024,May,2024-05-14,2024-05-14,"Yue Yin, Shuwei Chen, Haiming Li, Xiaozhe Pang, Congkai Wang, Lei Wang, Pingping Liu, Shenghao Xu, Xiliang Luo","Key Laboratory of Optic-electric Sensing and Analytical Chemistry for Life Science, MOE; College of Chemistry and Molecular Engineering, Qingdao University of Science and Technology, Qingdao 266042, P. R. China.",https://pubmed.ncbi.nlm.nih.gov/38706132/,356.0
20,"Mechanistic Insights into 1,2-bis(2,4,6-tribromophenoxy)ethane-Induced Male Reproductive Toxicity in Zebrafish.","The novel brominated flame retardant, 1,2-bis(2,4,6-tribromophenoxy)ethane (BTBPE), has increasingly been detected in environmental and biota samples. However, limited information is available regarding its toxicity, especially at environmentally relevant concentrations. In the present study, adult male zebrafish were exposed to varying concentrations of BTBPE (0, 0.01, 0.1, 1, and 10 μg/L) for 28 days. The results demonstrated underperformance in mating behavior and reproductive success of male zebrafish when paired with unexposed females. Additionally, a decline in sperm quality was confirmed in BTBPE-exposed male zebrafish, characterized by decreased total motility, decreased progressive motility, and increased morphological malformations. To elucidate the underlying mechanism, an integrated proteomic and phosphoproteomic analysis was performed, revealing a predominant impact on mitochondrial functions at the protein level and a universal response across different cellular compartments at the phosphorylation level. Ultrastructural damage, increased expression of apoptosis-inducing factor, and disordered respiratory chain confirmed the involvement of mitochondrial impairment in zebrafish testes. These findings not only provide valuable insights for future evaluations of the potential risks posed by BTBPE and similar chemicals but also underscore the need for further research into the impact of mitochondrial dysfunction on reproductive health.",Environmental Science & Technology,eng,2024,May,2024-05-14,2024-05-14,"Na Zheng, Xiaochen Wang, Yindan Zhang, Jianghuan Hua, Biran Zhu, Yuxi Zhou, Zhixiang Xu, Lijun Luo, Jian Han, Lihua Yang, Bingsheng Zhou","State Key Laboratory of Freshwater Ecology and Biotechnology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan 430072, China.",https://pubmed.ncbi.nlm.nih.gov/38695612/,5.0
21,Light-Driven Mitochondrion-to-Nucleus DNA Cascade Fluorescence Imaging and Enhanced Cancer Cell Photoablation.,"Nucleic acids are mainly found in the mitochondria and nuclei of cells. Detecting nucleic acids in the mitochondrion and nucleus in cascade mode is crucial for understanding diverse biological processes. This study introduces a novel nucleic acid-based fluorescent styrene dye (SPP) that exhibits light-driven cascade migration from the mitochondrion to the nucleus. By introducing <i>N</i>-arylpyridine on one side of the styrene dye skeleton and a bis(2-ethylsulfanyl-ethy)-amino unit on the other side, we found that SPP exhibits excellent DNA specificity (16-fold, <i>F</i><sup>DNA</sup>/<i>F</i><sup>free</sup>) and a stronger binding force to nuclear DNA (-5.09 kcal/mol) than to mitochondrial DNA (-2.59 kcal/mol). SPP initially accumulates in the mitochondrion and then migrates to the nucleus within 10 s under light irradiation. By tracking the damage to nucleic acids in apoptotic cells, SPP allows the successful visualization of the differences between apoptosis and ferroptosis. Finally, a triphenylamine segment with photodynamic effects was incorporated into SPP to form a photosensitizer (MTPA-SPP), which targets the mitochondria for photosensitization and then migrates to the nucleus under light irradiation for enhanced photodynamic cancer cell treatment. This innovative nucleic acid-based fluorescent molecule with light-triggered mitochondrion-to-nucleus migration ability provides a feasible approach for the in situ identification of nucleic acids, monitoring of subcellular physiological events, and efficient photodynamic therapy.",Journal Of The American Chemical Society,eng,2024,May,2024-05-15,2024-05-15,"Tianping Xia, Zhuoran Xia, Peichen Tang, Jiangli Fan, Xiaojun Peng","State Key Laboratory of Fine Chemicals, Frontier Science Center for Smart Materials, Dalian University of Technology, Dalian 116024, China.",https://pubmed.ncbi.nlm.nih.gov/38685727/,674.0
22,A multipurpose mitochondrial NIR probe for imaging ferroptosis and mitophagy.,"This paper explores the use of a di-cationic fluorophore for visualizing mitochondria in live cells independent of membrane potential. Through the synthesized di-cationic fluorophore, we investigate the monitoring of viscosity, ferroptosis, stress-induced mitophagy, and lysosomal uptake of damaged mitochondria. The designed fluorophore is based on DQAsomes, cationic vesicles responsible for transporting drugs and DNA to mitochondria. The symmetric fluorophores possess two charge centres separated by an alkyl chain and are distinguished by a pyridinium group for mitochondrial selectivity, the C-12 alkyl substitution for membrane affinity, and an electron donor-π-acceptor fluorescent scaffold for intramolecular charge transfer. The synthesized fluorophores, PP and NP, emit wavelengths exceeding 600 nm, with a significant Stokes shift (130-211 nm), and NP demonstrates near-infrared emission (∼690 nm). Our study underscores the potential of these fluorophores for live-cell imaging, examining physiological responses such as viscosity and ferroptosis, and highlights their utility in investigating mitophagy damage and lysosomal uptake.",Journal Of Materials Chemistry. B,eng,2024,May,2024-05-15,2024-05-15,"Deeksha Rajput, Nachiket Pradhan, Shabnam Mansuri, Virupakshi Soppina, Sriram Kanvah","Department of Chemistry, Indian Institute of Technology, Gandhinagar, Palaj, Gandhinagar 382355, Gujarat, India. sriram@iitgn.ac.in.",https://pubmed.ncbi.nlm.nih.gov/38652007/,5.0
23,Triphenylphosphonium-functionalized dimeric BODIPY-based nanoparticles for mitochondria-targeting photodynamic therapy.,"The dimerization of boron dipyrromethene (BODIPY) moieties is an appealing molecular design approach for developing heavy-atom-free triplet photosensitizers (PSs). However, BODIPY dimer-based PSs generally lack target specificity, which limits their clinical use for photodynamic therapy. This study reports the synthesis of two mitochondria-targeting triphenylphosphonium (TPP)-functionalized meso-β directly linked BODIPY dimers (BTPP and BeTPP). Both BODIPY dimers exhibited solvent-polarity-dependent singlet oxygen (<sup>1</sup>O<sub>2</sub>) quantum yields, with maximum values of 0.84 and 0.55 for BTPP and BeTPP, respectively, in tetrahydrofuran. The compact orthogonal geometry of the BODIPY dimers facilitated the generation of triplet excited states <i>via</i> photoinduced charge separation (CS) and subsequent spin-orbit charge-transfer intersystem crossing (SOCT-ISC) processes and their rates were dependent on the energetic configuration between the frontier molecular orbitals of the two BODIPY subunits. The as-synthesized compounds were amphiphilic and hence formed stable nanoparticles (∼36 nm in diameter) in aqueous solutions, with a zeta potential of ∼33 mV beneficial for mitochondrial targeting. <i>In vitro</i> experiments with MCF-7 and HeLa cancer cells indicated the effective localization of BTPP and BeTPP within cancer-cell mitochondria. Under light irradiation, BTPP and BeTPP exhibited robust photo-induced therapeutic effects in both cell lines, with half-maximal inhibitory concentration (IC<sub>50</sub>) values of ∼30 and ∼55 nM, respectively.",Nanoscale,eng,2024,May,2024-05-16,2024-05-16,"Chanwoo Kim, Duy Khuong Mai, Joomin Lee, Jinwoong Jo, Soyeon Kim, Isabel Wen Badon, Jong Min Lim, Ho-Joong Kim, Jaesung Yang","Department of Chemistry, Yonsei University, Wonju, Gangwon 26493, Korea. jaesung.yang@yonsei.ac.kr.",https://pubmed.ncbi.nlm.nih.gov/38639449/,268.0
24,The impact of HBx protein on mitochondrial dynamics and associated signaling pathways strongly depends on the hepatitis B virus genotype.,"Chronic hepatitis B virus (HBV) infections are strongly associated with liver cirrhosis, inflammation, and hepatocellular carcinoma. In this context, the viral HBx protein is considered as a major factor influencing HBV-associated pathogenesis through deregulation of multiple cellular signaling pathways and is therefore a potential target for prognostic and therapeutic applications. However, HBV-associated pathogenesis differs significantly between genotypes, with the relevant factors and in particular the contribution of the genetic diversity of HBx being largely unknown. To address this question, we studied the specific genotype-dependent impact of HBx on cellular signaling pathways, focusing in particular on morphological and functional parameters of mitochondria. To exclusively investigate the impact of HBx of different genotypes on integrity and function of mitochondria in the absence of additional viral factors, we overexpressed HBx in Huh7 or HepG2 cells. Key signaling pathways were profiled by kinome analysis and correlated with expression levels of mitochondrial and pathogenic markers. Conclusively, HBx of genotypes A and G caused strong disruption of mitochondrial morphology alongside an induction of PTEN-induced putative kinase 1/Parkin-mediated mitophagy. These effects were only moderately dysregulated by genotypes B and E, whereas genotypes C and D exhibit an intermediate effect in this regard. Accordingly, changes in mitochondrial membrane potential and elevated reactive oxygen species production were associated with the HBx-mediated dysfunction among different genotypes. Also, genotype-related differences in mitophagy induction were identified and indicated that HBx-mediated changes in the mitochondria morphology and function strongly depend on the genotype. This indicates a relevant role of HBx in the process of genotype-dependent liver pathogenesis of HBV infections and reveals underlying mechanisms.IMPORTANCEThe hepatitis B virus is the main cause of chronic liver disease worldwide and differs in terms of pathogenesis and clinical outcome among the different genotypes. Furthermore, the viral HBx protein is a known factor in the progression of liver injury by inducing aberrant mitochondrial structures and functions. Consequently, the selective removal of dysfunctional mitochondria is essential to maintain overall cellular homeostasis and cell survival. Consistent with the intergenotypic difference of HBV, our data reveal significant differences regarding the impact of HBx of different genotypes on mitochondrial dynamic and function and thereby on radical oxygen stress levels within the cell. We subsequently observed that the induction of mitophagy differs significantly across the heterogenetic HBx proteins. Therefore, this study provides evidence that HBx-mediated changes in the mitochondria dynamics and functionality strongly depend on the genotype of HBx. This highlights an important contribution of HBx in the process of genotype-dependent liver pathogenesis.",Journal Of Virology,eng,2024,May,2024-05-14,2024-05-16,"Anja Schollmeier, Michael Basic, Mirco Glitscher, Eberhard Hildt","Division of Virology, Paul Ehrlich Institute, Langen, Germany.",https://pubmed.ncbi.nlm.nih.gov/38629837/,315.0
